x,y
52.704,144.288
38.88,165.024
85.536,102.816
40.608,361.152
45.792,152.928
72.576,128.736
44.064,62.208
72.576,64.8
31.968,65.664
63.936,84.672
43.2,120.96
47.52,65.664
34.56,135.648
98.496,128.736
55.296,123.552
37.152,154.656
68.256,126.144
69.12,110.592
73.44,124.416
75.168,146.016
34.56,57.888
76.896,85.536
31.968,131.328
30.24,104.544
62.208,105.408
39.744,92.448
65.664,85.536
42.336,104.544
114.048,210.816
84.672,116.64
62.208,103.68
40.608,124.416
54.432,126.144
38.88,125.28
52.704,149.472
86.4,63.072
86.4,103.68
35.424,86.4
89.856,104.544
69.12,85.536
50.976,105.408
26.784,126.144
53.568,83.808
41.472,106.272
47.52,126.144
54.432,148.608
69.12,128.736
55.296,229.824
43.2,127.008
81.216,170.208
76.032,62.208
58.752,104.544
28.512,128.736
87.264,170.208
63.936,109.728
79.488,126.144
73.44,166.752
28.512,105.408
49.248,105.408
48.384,85.536
54.432,84.672
33.696,127.872
75.168,104.544
63.072,61.344
31.104,63.072
56.16,50.112
38.016,178.848
84.672,127.008
84.672,139.968
83.808,145.152
72.576,105.408
62.208,115.776
41.472,145.152
35.424,213.408
63.072,124.416
53.568,129.6
53.568,86.4
71.712,63.072
38.88,105.408
67.392,147.744
70.848,106.272
63.072,110.592
88.128,127.872
83.808,124.416
30.24,62.208
58.752,111.456
74.304,106.272
42.336,125.28
58.752,127.872
50.112,127.008
44.928,63.936
81.216,62.208
51.84,85.536
68.256,151.2
38.016,147.744
44.064,107.136
57.888,125.28
65.664,167.616
38.016,127.872
44.928,171.072
71.712,127.872
43.2,84.672
96.768,127.008
69.984,104.544
31.104,103.68
60.48,57.024
97.632,105.408
46.656,107.136
180.576,106.272
81.216,147.744
31.104,147.744
59.616,167.616
41.472,127.008
28.512,114.912
40.608,103.68
89.856,104.544
74.304,167.616
45.792,63.072
39.744,82.08
35.424,40.608
40.608,104.544
37.152,127.872
82.08,104.544
47.52,146.016
78.624,166.752
30.24,146.88
31.968,146.016
69.984,127.008
63.072,63.936
77.76,63.072
40.608,84.672
30.24,125.28
35.424,127.872
79.488,105.408
29.376,42.336
106.272,65.664
51.84,106.272
80.352,115.776
38.88,107.136
41.472,161.568
52.704,141.696
31.104,138.24
43.2,135.648
36.288,127.872
29.376,129.6
27.648,145.152
31.968,84.672
80.352,114.912
49.248,158.112
43.2,63.936
51.84,124.416
33.696,149.472
31.104,126.144
38.88,146.88
74.304,106.272
74.304,171.072
25.92,148.608
43.2,104.544
32.832,127.008
73.44,189.216
69.12,147.744
39.744,171.072
36.288,148.608
31.968,63.072
78.624,104.544
51.84,122.688
158.112,84.672
94.176,127.008
56.16,244.512
56.16,63.936
57.888,89.856
34.56,128.736
40.608,127.872
86.4,127.872
76.032,87.264
80.352,124.416
52.704,88.992
44.928,62.208
81.216,86.4
27.648,86.4
167.616,63.072
243.648,129.6
32.832,114.912
63.072,86.4
87.264,86.4
44.928,127.008
37.152,146.88
41.472,63.936
83.808,83.808
31.104,85.536
57.024,126.144
119.232,66.528
50.976,63.072
26.784,108.0
70.848,127.008
45.792,68.256
33.696,70.848
32.832,88.128
47.52,131.328
47.52,114.048
63.072,82.944
40.608,126.144
50.976,127.872
52.704,82.944
89.856,82.08
62.208,74.304
51.84,64.8
42.336,79.488
37.152,153.792
66.528,147.744
75.168,170.208
32.832,101.088
64.8,117.504
61.344,146.88
45.792,104.544
43.2,135.648
42.336,150.336
36.288,63.936
64.8,63.072
38.016,41.472
31.104,85.536
42.336,147.744
38.88,131.328
51.84,98.496
32.832,175.392
72.576,148.608
50.112,75.168
71.712,156.384
47.52,154.656
30.24,83.808
30.24,127.008
53.568,73.44
37.152,172.8
44.064,63.936
43.2,82.944
60.48,126.144
83.808,64.8
72.576,127.008
53.568,147.744
76.032,83.808
70.848,86.4
57.888,104.544
66.528,128.736
50.976,85.536
31.968,167.616
91.584,102.816
116.64,83.808
69.12,84.672
72.576,42.336
47.52,57.024
72.576,134.784
39.744,108.0
83.808,188.352
73.44,150.336
76.896,91.584
82.944,93.312
178.848,110.592
69.12,154.656
52.704,187.488
65.664,102.816
41.472,146.016
26.784,43.2
74.304,106.272
38.88,91.584
63.936,55.296
88.992,128.736
28.512,126.144
31.968,146.016
45.792,145.152
38.88,108.864
62.208,63.072
43.2,127.008
44.928,147.744
87.264,128.736
78.624,71.712
